fid,SiteID,Name,Type,Type_Code,Phase,Latitude,Longitude,HubDist,TRI,Slope,VDCN,TWI,DEM
28,28,KanTouGaoShan,Enclosure,1,Phase 3,27.871833,116.728389,271.3016046,5.47723,3.01696,69,7.73415,69
29,29,KeCheng,Enclosure,1,Unknown,27.979056,116.736111,198.127927,4.79583,2.71992,64,5.21458,64
30,30,KuiXing,Enclosure,1,Phase 3,27.959389,116.722611,1432.47473,8.06226,6.18293,70,5.70777,70
31,31,LianHuaDun,Enclosure,1,Unknown,28.039417,116.865139,358.1612291,2.64575,1.35022,59,7.37615,59
32,32,LuBianNiJiaCunMoPanShan,Enclosure,1,Phase 2,28.007083,116.973583,1162.151991,12,7.60929,127,8.4536,127
33,33,MaShan,Enclosure,1,Unknown,27.963889,116.744167,404.9926031,3.31662,2.43314,62,6.80543,62
34,34,PanTingChengDunShang,Enclosure,1,Phase 3,27.833917,116.758306,557.0383081,2.23607,1.39176,90,6.43617,90
35,35,PengJiaShan,Enclosure,1,Phase 3,27.887944,116.635444,1571.016958,6.08276,3.72387,59,5.40481,59
36,36,HuLuDun,Enclosure,1,Unknown,27.980278,116.827333,666.2003754,16.06238,11.99914,88,4.41903,88
37,37,ShanChengXia,Enclosure,1,Unknown,27.996222,116.910028,419.4132547,1.41421,0.47745,76,9.12034,76
38,38,ShanTianZhengJiaHeHuShan,Enclosure,1,Unknown,27.879111,116.751,344.8612073,9.8995,7.08573,78,5.31736,78
39,39,ShangYangCun,Enclosure,1,Unknown,28.03125,116.645972,656.795447,14,10.92491,53,5.7368,53
40,40,XiHuCun,Enclosure,1,Phase 3,27.937778,116.758611,93.38107595,8.18535,4.58231,70,8.37335,70
